"Year","Income Group","ODA","Share","Donor"
"2018","Lower-middle income countries",427.795333,"12%","Norway"
"2019","Lower-middle income countries",418.543563,"11%","Norway"
"2020","Lower-middle income countries",447.706085,"11%","Norway"
"2021","Lower-middle income countries",355.581071,"10%","Norway"
"2022","Lower-middle income countries",819.315458,"21%","Norway"
"2018","Low income countries",780.072737,"22%","Norway"
"2019","Low income countries",844.323665,"22%","Norway"
"2020","Low income countries",916.194175,"23%","Norway"
"2021","Low income countries",723.861054,"21%","Norway"
"2022","Low income countries",655.444941,"17%","Norway"
"2018","Upper-middle income countries",400.887509,"12%","Norway"
"2019","Upper-middle income countries",385.422812,"10%","Norway"
"2020","Upper-middle income countries",376.122902,"9%","Norway"
"2021","Upper-middle income countries",319.374793,"9%","Norway"
"2022","Upper-middle income countries",331.407913,"9%","Norway"
"2018","Unallocated by income",257.541591,"7%","Norway"
"2019","Unallocated by income",361.093243,"9%","Norway"
"2020","Unallocated by income",289.268467,"7%","Norway"
"2021","Unallocated by income",257.398866,"7%","Norway"
"2022","Unallocated by income",211.233806,"6%","Norway"
"2018","Countries not classified",4.084758,"0%","Norway"
"2019","Countries not classified",6.37422,"0%","Norway"
"2020","Countries not classified",8.368794,"0%","Norway"
"2021","Countries not classified",8.612093,"0%","Norway"
"2022","Countries not classified",6.650328,"0%","Norway"
"2018","High income countries",3.671565,"0%","Norway"
"2019","High income countries",55.058116,"1%","Norway"
"2020","High income countries",3.754077,"0%","Norway"
"2021","High income countries",4.243612,"0%","Norway"
"2022","High income countries",4.313982,"0%","Norway"
