"Year","Income Group","ODA","Share","Donor"
"2018","Lower-middle income countries",997.490235,"25%","Canada"
"2019","Lower-middle income countries",879.265744,"23%","Canada"
"2020","Lower-middle income countries",890.109761,"20%","Canada"
"2021","Lower-middle income countries",848.888043,"17%","Canada"
"2022","Lower-middle income countries",3028.962547,"44%","Canada"
"2018","Unallocated by income",1070.22802,"26%","Canada"
"2019","Unallocated by income",1016.655238,"27%","Canada"
"2020","Unallocated by income",1552.641741,"34%","Canada"
"2021","Unallocated by income",2350.574917,"47%","Canada"
"2022","Unallocated by income",1569.801995,"23%","Canada"
"2018","Low income countries",909.291807,"22%","Canada"
"2019","Low income countries",821.04993,"22%","Canada"
"2020","Low income countries",812.312725,"18%","Canada"
"2021","Low income countries",966.170216,"19%","Canada"
"2022","Low income countries",938.849075,"14%","Canada"
"2018","Upper-middle income countries",285.470314,"7%","Canada"
"2019","Upper-middle income countries",280.30003,"7%","Canada"
"2020","Upper-middle income countries",286.730392,"6%","Canada"
"2021","Upper-middle income countries",267.320336,"5%","Canada"
"2022","Upper-middle income countries",271.962092,"4%","Canada"
"2018","Countries not classified",0.835695,"0%","Canada"
"2019","Countries not classified",2.784829,"0%","Canada"
"2020","Countries not classified",7.180274,"0%","Canada"
"2021","Countries not classified",13.422402,"0%","Canada"
"2022","Countries not classified",18.169201,"0%","Canada"
"2018","High income countries",2.942308,"0%","Canada"
"2019","High income countries",2.416332,"0%","Canada"
"2020","High income countries",3.957106,"0%","Canada"
"2021","High income countries",5.512374,"0%","Canada"
"2022","High income countries",5.625517,"0%","Canada"
