"Year","Income Group","ODA","Share","Donor"
"2018","Low income countries",130.450292,"33%","Luxembourg"
"2019","Low income countries",133.279407,"31%","Luxembourg"
"2020","Low income countries",124.353823,"36%","Luxembourg"
"2021","Low income countries",132.041591,"36%","Luxembourg"
"2022","Low income countries",134.871184,"34%","Luxembourg"
"2018","Lower-middle income countries",122.61289,"31%","Luxembourg"
"2019","Lower-middle income countries",120.486774,"28%","Luxembourg"
"2020","Lower-middle income countries",92.603695,"27%","Luxembourg"
"2021","Lower-middle income countries",100.447295,"28%","Luxembourg"
"2022","Lower-middle income countries",115.942308,"29%","Luxembourg"
"2018","Part I Unallocated by income",18.970995,"5%","Luxembourg"
"2019","Part I Unallocated by income",25.586691,"6%","Luxembourg"
"2020","Part I Unallocated by income",21.900459,"6%","Luxembourg"
"2021","Part I Unallocated by income",22.517796,"6%","Luxembourg"
"2022","Part I Unallocated by income",29.842301,"8%","Luxembourg"
"2018","Upper-middle income countries",36.703537,"9%","Luxembourg"
"2019","Upper-middle income countries",29.590714,"7%","Luxembourg"
"2020","Upper-middle income countries",19.213953,"6%","Luxembourg"
"2021","Upper-middle income countries",22.206343,"6%","Luxembourg"
"2022","Upper-middle income countries",22.453564,"6%","Luxembourg"
"2018","Countries not classified",0,"0%","Luxembourg"
"2019","Countries not classified",0.255668,"0%","Luxembourg"
"2020","Countries not classified",0.125495,"0%","Luxembourg"
"2021","Countries not classified",0,"0%","Luxembourg"
"2022","Countries not classified",0.30033,"0%","Luxembourg"
"2018","High income countries",0,"0%","Luxembourg"
"2019","High income countries",0,"0%","Luxembourg"
"2020","High income countries",0,"0%","Luxembourg"
"2021","High income countries",0,"0%","Luxembourg"
"2022","High income countries",0,"0%","Luxembourg"
