"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2018","Ukraine",225.441405,26.337012,"1%","Germany"
"2019","Ukraine",200.255717,27.75591,"1%","Germany"
"2020","Ukraine",188.525233,33.249404,"1%","Germany"
"2021","Ukraine",229.4318,27.312751,"1%","Germany"
"2022","Ukraine",2171.26767,17.508007,"6%","Germany"
"2018","Indonesia",136.396204,1156.150405,"5%","Germany"
"2019","Indonesia",114.699877,29.271668,"1%","Germany"
"2020","Indonesia",112.543603,953.845018,"4%","Germany"
"2021","Indonesia",112.479132,335.878343,"2%","Germany"
"2022","Indonesia",144.019937,842.59325,"3%","Germany"
"2018","China (People's Republic of)",385.59609,480.057761,"4%","Germany"
"2019","China (People's Republic of)",419.512787,508.733199,"4%","Germany"
"2020","China (People's Republic of)",427.188604,401.611466,"3%","Germany"
"2021","China (People's Republic of)",424.988658,354.411897,"3%","Germany"
"2022","China (People's Republic of)",385.155558,476.612288,"2%","Germany"
"2018","India",301.689726,639.340463,"4%","Germany"
"2019","India",319.549906,730.982231,"4%","Germany"
"2020","India",379.317855,893.058483,"5%","Germany"
"2021","India",384.277932,929.119279,"5%","Germany"
"2022","India",389.456084,397.11366,"2%","Germany"
"2018","Syrian Arab Republic",825.373642,0,"3%","Germany"
"2019","Syrian Arab Republic",848.015364,0,"4%","Germany"
"2020","Syrian Arab Republic",952.283031,0,"3%","Germany"
"2021","Syrian Arab Republic",670.386036,0,"2%","Germany"
"2022","Syrian Arab Republic",707.3586,0,"2%","Germany"
"2018","Morocco",89.514514,195.276859,"1%","Germany"
"2019","Morocco",94.280153,187.31586,"1%","Germany"
"2020","Morocco",129.071971,531.446908,"2%","Germany"
"2021","Morocco",91.133974,369.863239,"2%","Germany"
"2022","Morocco",69.257049,550.629567,"2%","Germany"
"2018","Peru",55.778865,59.261094,"0%","Germany"
"2019","Peru",61.511613,175.057909,"1%","Germany"
"2020","Peru",60.830755,163.200126,"1%","Germany"
"2021","Peru",60.741776,2.684105,"0%","Germany"
"2022","Peru",59.891568,542.599796,"2%","Germany"
"2018","Brazil",147.519169,98.277205,"1%","Germany"
"2019","Brazil",145.782841,113.336491,"1%","Germany"
"2020","Brazil",118.818816,50.603774,"1%","Germany"
"2021","Brazil",130.631669,12.274383,"1%","Germany"
"2022","Brazil",97.15212,449.254362,"2%","Germany"
"2018","Colombia",106.490039,492.634811,"2%","Germany"
"2019","Colombia",119.716887,7.259627,"1%","Germany"
"2020","Colombia",113.983555,650.173216,"3%","Germany"
"2021","Colombia",123.010445,277.401942,"1%","Germany"
"2022","Colombia",117.457576,408.316267,"2%","Germany"
"2018","Yemen",250.453361,0,"1%","Germany"
"2019","Yemen",268.033196,0,"1%","Germany"
