year,incomegroup_name,total_oda,Share,Donor
2023,UMICs,14.95,39.2,Slovak Republic
2023,LMICs,12.08,31.68,Slovak Republic
2023,Part I unallocated by income,7.69,20.16,Slovak Republic
2023,LDCs,2.65,6.94,Slovak Republic
2023,Other LICs,0.77,2.02,Slovak Republic
2022,Part I unallocated by income,15.04,33.12,Slovak Republic
2022,UMICs,14.9,32.81,Slovak Republic
2022,LMICs,14.36,31.62,Slovak Republic
2022,LDCs,0.78,1.72,Slovak Republic
2022,Other LICs,0.33,0.73,Slovak Republic
2021,Part I unallocated by income,11.65,29.8,Slovak Republic
2021,UMICs,11.35,29.04,Slovak Republic
2021,LMICs,8.96,22.91,Slovak Republic
2021,LDCs,6.6,16.89,Slovak Republic
2021,Other LICs,0.53,1.36,Slovak Republic
2020,UMICs,28.59,67.56,Slovak Republic
2020,Part I unallocated by income,7.94,18.77,Slovak Republic
2020,LMICs,3.11,7.34,Slovak Republic
2020,LDCs,2.56,6.05,Slovak Republic
2020,Other LICs,0.12,0.27,Slovak Republic
2019,Part I unallocated by income,9.3,36.6,Slovak Republic
2019,UMICs,9.24,36.36,Slovak Republic
2019,LMICs,5.13,20.19,Slovak Republic
2019,LDCs,1.56,6.15,Slovak Republic
2019,Other LICs,0.18,0.7,Slovak Republic
