Year,ODA,Share,Full Name,donor
2020,4.6314,0.4588315715432093,global alliance for vaccines and immunization,New Zealand
2020,0.24359999999999998,0.024133387491455233,asian development bank,New Zealand
2020,0.2947,0.02919585095949039,joint united nations programme on hiv aids,New Zealand
2020,0.6699999999999999,0.06637672257502056,united nations children’s fund,New Zealand
2020,0.14029999999999998,0.013899483846679677,united nations development programme,New Zealand
2020,0.0733,0.0072618115891776224,world food programme,New Zealand
2020,0.0062,0.0006142323581569066,global environment facility trust fund,New Zealand
2020,0.0022,0.00021795341741051528,united nations,New Zealand
2020,0.1046,0.010362694300518135,united nations relief and works agency for palestine refugees in the near east,New Zealand
2020,0.3529,0.03496170954735038,global fund to fight aids tuberculosis and malaria,New Zealand
2020,0.9895999999999999,0.09803940994065723,world health organisation assessed contributions,New Zealand
2020,0.09490000000000001,0.009401717869208136,food and agricultural organisation,New Zealand
2020,1.2288,0.12173689059729143,international development association,New Zealand
2020,1.2614,0.12496656396437454,united nations population fund,New Zealand
2023,0.4911,0.055216379397578154,global fund to fight aids tuberculosis and malaria,New Zealand
2023,0.40599999999999997,0.04564823872005036,asian development bank,New Zealand
2023,0.17149999999999996,0.019282445666228165,united nations development programme,New Zealand
2023,2.2557000000000005,0.25361756670152125,united nations population fund,New Zealand
2023,0.1734,0.019496070428711165,global environment facility trust fund,New Zealand
2023,0.0245,0.002754635095175453,united nations,New Zealand
2023,0.9535,0.10720590054080793,world health organisation assessed contributions,New Zealand
2023,2.6064,0.2930482004924612,international development association,New Zealand
2023,0.8279999999999997,0.09309542280837854,international bank for reconstruction and development,New Zealand
2023,0.0995,0.01118719150897786,food and agricultural organisation,New Zealand
2023,0.511,0.05745381769937373,united nations children’s fund,New Zealand
2023,0.2039,0.02292531003699081,joint united nations programme on hiv aids,New Zealand
2023,0.0806,0.009062187292699654,world food programme,New Zealand
2023,0.089,0.010006633611045522,united nations relief and works agency for palestine refugees in the near east,New Zealand
2021,0.1021,0.005300096554158578,united nations relief and works agency for palestine refugees in the near east,New Zealand
2021,12.513700000000002,0.6495966527891696,global alliance for vaccines and immunization,New Zealand
2021,0.1129,0.005860733603961836,world food programme,New Zealand
2021,0.0277,0.0014379302110694673,global environment facility trust fund,New Zealand
2021,0.1322,0.0068626127762954365,united nations development programme,New Zealand
2021,1.0278999999999998,0.05335915032340452,global fund to fight aids tuberculosis and malaria,New Zealand
2021,0.4142,0.021501469076713842,asian development bank,New Zealand
2021,1.3281999999999998,0.06894797495821178,international development association,New Zealand
2021,0.8878000000000003,0.046086441927345616,world health organisation assessed contributions,New Zealand
2021,0.011000000000000001,0.0005710192173922073,united nations,New Zealand
2021,0.6738,0.03497752260716993,united nations children’s fund,New Zealand
2021,0.0282,0.0014638856300418404,joint united nations programme on hiv aids,New Zealand
2021,0.0973,0.005050924532023797,food and agricultural organisation,New Zealand
2021,1.1843000000000001,0.06147800537796283,united nations population fund,New Zealand
2021,0.7224999999999998,0.03750558041507906,international bank for reconstruction and development,New Zealand
2019,0.6812999999999999,0.11108393660731754,united nations children’s fund,New Zealand
2019,0.001,0.0001630470227613644,global environment facility trust fund,New Zealand
2019,0.148,0.02413095936868193,food and agricultural organisation,New Zealand
2019,0.0021,0.0003423987477988652,united nations,New Zealand
2019,1.5915000000000001,0.2594893367247115,united nations population fund,New Zealand
2019,0.1132,0.018456922976586448,world food programme,New Zealand
2019,0.3604,0.05876214700319573,global fund to fight aids tuberculosis and malaria,New Zealand
2019,1.1715999999999998,0.19102589186721447,international development association,New Zealand
2019,0.4639,0.07563751385899693,joint united nations programme on hiv aids,New Zealand
2019,0.08559999999999998,0.013956825148372789,asian development bank,New Zealand
2019,0.0779,0.012701363073110285,united nations development programme,New Zealand
2019,0.9892999999999998,0.16130241961781777,world health organisation assessed contributions,New Zealand
2019,0.4474,0.07294723798343443,united nations relief and works agency for palestine refugees in the near east,New Zealand
2022,0.08249999999999999,0.011762357604185973,food and agricultural organisation,New Zealand
2022,0.5953999999999999,0.08488857839433125,united nations children’s fund,New Zealand
2022,0.32489999999999997,0.04632230285575785,global fund to fight aids tuberculosis and malaria,New Zealand
2022,0.2777,0.03959280856584782,united nations development programme,New Zealand
2022,0.5013,0.07147236202398095,asian development bank,New Zealand
2022,0.9084999999999998,0.12952850767761157,international bank for reconstruction and development,New Zealand
2022,0.8431000000000001,0.12020416601320237,world health organisation assessed contributions,New Zealand
2022,1.4528,0.20713155305892586,international development association,New Zealand
2022,0.0854,0.012175822295727057,world food programme,New Zealand
2022,1.8232000000000002,0.2599409743509318,united nations population fund,New Zealand
2022,0.101,0.014399977188154951,united nations relief and works agency for palestine refugees in the near east,New Zealand
2022,0.0181,0.00258058997134262,united nations,New Zealand
