Year,ODA,Share,Full Name,donor
2019,0.0177,0.011405374057606802,united nations relief and works agency for palestine refugees in the near east,Estonia
2019,0.8293999999999999,0.5344416521683096,european commission development share of budget,Estonia
2019,0.0014000000000000002,0.0009021199819576004,united nations development programme,Estonia
2019,0.031599999999999996,0.020362136735614402,united nations population fund,Estonia
2019,0.03359999999999999,0.0216508795669824,united nations children’s fund,Estonia
2019,0.1693,0.10909208067530123,international development association,Estonia
2019,0.05209999999999999,0.0335717507571364,world health organisation core voluntary contributions account,Estonia
2019,0.4168,0.26857400605709125,european commission european development fund,Estonia
2019,0.0,0.0,united nations economic commission for europe extrabudgetary contributions only,Estonia
2020,0.0428,0.02509527997654647,united nations relief and works agency for palestine refugees in the near east,Estonia
2020,0.0007,0.0004104368220463208,council of europe development bank,Estonia
2020,0.7724999999999999,0.4529463500439753,european commission development share of budget,Estonia
2020,0.18330000000000005,0.10747581354441517,international development association,Estonia
2020,0.14930000000000002,0.08754031075930814,world health organisation assessed contributions,Estonia
2020,0.025799999999999997,0.015127528583992965,united nations population fund,Estonia
2020,0.3943000000000001,0.23119319847552045,european commission european development fund,Estonia
2020,0.0027,0.0015831134564643803,united nations development programme,Estonia
2020,0.053,0.031075930812078573,world health organisation core voluntary contributions account,Estonia
2020,0.0025,0.0014658457930225742,world food programme,Estonia
2020,0.0098,0.005746115508648491,food and agricultural organisation,Estonia
2020,0.0003,0.00017590149516270889,united nations,Estonia
2020,0.0685,0.04016417472881854,united nations children’s fund,Estonia
2021,0.27310000000000006,0.11286523122701163,european commission european development fund,Estonia
2021,0.0024,0.000991858494854734,united nations development programme,Estonia
2021,1.5832000000000002,0.6542959871058396,european commission development share of budget,Estonia
2021,0.0919,0.037979914865479185,global alliance for vaccines and immunization,Estonia
2021,0.19200000000000003,0.07934867958837873,international development association,Estonia
2021,0.011099999999999999,0.004587345538703144,united nations children’s fund,Estonia
2021,0.0015999999999999999,0.0006612389965698226,united nations,Estonia
2021,0.0163,0.0067363722775550675,united nations relief and works agency for palestine refugees in the near east,Estonia
2021,0.032100000000000004,0.013266107368682068,world health organisation core voluntary contributions account,Estonia
2021,0.1943,0.08029921064594783,international bank for reconstruction and development,Estonia
2021,0.008700000000000001,0.003595487043848411,food and agricultural organisation,Estonia
2021,0.0118,0.004876637599702442,united nations population fund,Estonia
2021,0.0012,0.000495929247427367,world food programme,Estonia
2022,0.1899,0.0530135953770135,international development association,Estonia
2022,0.0868,0.024231595991178367,european commission european development fund,Estonia
2022,0.1298,0.03623572764579437,international bank for reconstruction and development,Estonia
2022,0.0085,0.002372909745679909,food and agricultural organisation,Estonia
2022,0.017900000000000003,0.004997068758549456,united nations children’s fund,Estonia
2022,0.0013,0.0003629156081628096,world food programme,Estonia
2022,2.9435999999999996,0.821752603221574,european commission development share of budget,Estonia
2022,0.1134,0.03165740766589432,world health organisation assessed contributions,Estonia
2022,0.0018000000000000002,0.0005024985343792749,united nations,Estonia
2022,0.0008,0.0002233326819463444,international finance corporation,Estonia
2022,0.028599999999999997,0.007984143379581811,world health organisation core voluntary contributions account,Estonia
2022,0.0451,0.012590379944725165,global alliance for vaccines and immunization,Estonia
2022,0.0146,0.004075821445520785,united nations relief and works agency for palestine refugees in the near east,Estonia
2023,0.0019,0.0004633016337478662,world food programme,Estonia
2023,0.019500000000000003,0.00475493782004389,european commission european development fund,Estonia
2023,0.10980000000000001,0.02677395757132406,international bank for reconstruction and development,Estonia
2023,0.0251,0.006120458424774443,united nations relief and works agency for palestine refugees in the near east,Estonia
2023,0.05410000000000001,0.013191904413557665,world health organisation core voluntary contributions account,Estonia
2023,0.0094,0.002292123872226285,food and agricultural organisation,Estonia
2023,0.0034000000000000002,0.0008290660814435501,united nations,Estonia
2023,0.14569999999999997,0.035527920019507414,world health organisation assessed contributions,Estonia
2023,3.3370000000000015,0.8137039746403316,european commission development share of budget,Estonia
2023,0.0299,0.00729090465740063,united nations children’s fund,Estonia
2023,0.3647,0.08892952938307727,international development association,Estonia
2023,0.0005,0.00012192148256522794,international finance corporation,Estonia
