"Year","Sector","Bilateral ODA for","Share","Donor"
2018,"Health policy and administrative management",25.978827,"20%","Belgium"
2019,"Health policy and administrative management",15.047788,"12%","Belgium"
2020,"Health policy and administrative management",14.713888,"11%","Belgium"
2021,"Health policy and administrative management",11.267614,"7%","Belgium"
2022,"Health policy and administrative management",16.424026,"11%","Belgium"
2018,"Medical education/training",17.408685,"14%","Belgium"
2019,"Medical education/training",14.525798,"12%","Belgium"
2020,"Medical education/training",14.710864,"11%","Belgium"
2021,"Medical education/training",12.865947,"8%","Belgium"
2022,"Medical education/training",11.966889,"8%","Belgium"
2018,"Medical research",6.455719,"5%","Belgium"
2019,"Medical research",6.380432,"5%","Belgium"
2020,"Medical research",10.373234,"8%","Belgium"
2021,"Medical research",8.624979,"5%","Belgium"
2022,"Medical research",8.132584,"6%","Belgium"
2018,"Medical services",2.701763,"2%","Belgium"
2019,"Medical services",8.365156,"7%","Belgium"
2020,"Medical services",2.655882,"2%","Belgium"
2021,"Medical services",4.387022,"3%","Belgium"
2022,"Medical services",3.685682,"3%","Belgium"
2018,"Basic health care",28.536092,"22%","Belgium"
2019,"Basic health care",29.793332,"24%","Belgium"
2020,"Basic health care",21.437928,"16%","Belgium"
2021,"Basic health care",16.99701,"10%","Belgium"
2022,"Basic health care",17.836468,"12%","Belgium"
2018,"Basic health infrastructure",6.747278,"5%","Belgium"
2019,"Basic health infrastructure",4.431093,"4%","Belgium"
2020,"Basic health infrastructure",5.819077,"4%","Belgium"
2021,"Basic health infrastructure",7.616214,"5%","Belgium"
2022,"Basic health infrastructure",3.592141,"2%","Belgium"
2018,"Basic nutrition",1.245984,"1%","Belgium"
2019,"Basic nutrition",6.346205,"5%","Belgium"
2020,"Basic nutrition",2.048981,"2%","Belgium"
2021,"Basic nutrition",0.205634,"0%","Belgium"
2022,"Basic nutrition",0.544629,"0%","Belgium"
2018,"Infectious disease control",14.779659,"12%","Belgium"
2019,"Infectious disease control",17.468973,"14%","Belgium"
2020,"Infectious disease control",17.961819,"14%","Belgium"
2021,"Infectious disease control",15.021947,"9%","Belgium"
2022,"Infectious disease control",21.268121,"15%","Belgium"
2018,"Health education",0.972781,"1%","Belgium"
2019,"Health education",1.005929,"1%","Belgium"
2020,"Health education",0.657708,"1%","Belgium"
2021,"Health education",0.547031,"0%","Belgium"
2022,"Health education",1.213165,"1%","Belgium"
2022,"Malaria control",0.395226,"0%","Belgium"
2018,"Tuberculosis control",5.697708,"4%","Belgium"
2019,"Tuberculosis control",6.108152,"5%","Belgium"
2020,"Tuberculosis control",6.553125,"5%","Belgium"
2021,"Tuberculosis control",6.188404,"4%","Belgium"
2022,"Tuberculosis control",0.158507,"0%","Belgium"
2018,"Health personnel development",2.120066,"2%","Belgium"
2019,"Health personnel development",2.05215,"2%","Belgium"
2020,"Health personnel development",1.703733,"1%","Belgium"
2021,"Health personnel development",1.787647,"1%","Belgium"
2022,"Health personnel development",0.061916,"0%","Belgium"
2018,"Population policy and administrative management",2.451832,"2%","Belgium"
2022,"Population policy and administrative management",0.8307,"1%","Belgium"
2018,"Reproductive health care",9.016792,"7%","Belgium"
2019,"Reproductive health care",10.619957,"8%","Belgium"
2020,"Reproductive health care",21.00331,"16%","Belgium"
2021,"Reproductive health care",26.721749,"16%","Belgium"
2022,"Reproductive health care",26.2806,"18%","Belgium"
2018,"Family planning",0.586704,"0%","Belgium"
2019,"Family planning",2.320785,"2%","Belgium"
2020,"Family planning",2.799541,"2%","Belgium"
2021,"Family planning",2.634815,"2%","Belgium"
2022,"Family planning",2.433396,"2%","Belgium"
2018,"STD control including HIV/AIDS",2.297041,"2%","Belgium"
2019,"STD control including HIV/AIDS",0.806223,"1%","Belgium"
2020,"STD control including HIV/AIDS",4.120866,"3%","Belgium"
2021,"STD control including HIV/AIDS",1.575793,"1%","Belgium"
2022,"STD control including HIV/AIDS",3.039348,"2%","Belgium"
2018,"Personnel development for population and reproductive health",0.786654,"1%","Belgium"
2019,"Personnel development for population and reproductive health",0.746588,"1%","Belgium"
2020,"Personnel development for population and reproductive health",0.279019,"0%","Belgium"
2021,"Personnel development for population and reproductive health",0.361105,"0%","Belgium"
2022,"Personnel development for population and reproductive health",1.511319,"1%","Belgium"
2019,"NCDs control, general",0.207492,"0%","Belgium"
2020,"NCDs control, general",0.381292,"0%","Belgium"
2021,"NCDs control, general",0.394611,"0%","Belgium"
2022,"NCDs control, general",0.801494,"1%","Belgium"
2020,"Promotion of mental health and well-being",0.106869,"0%","Belgium"
2021,"Promotion of mental health and well-being",0.103305,"0%","Belgium"
2020,"COVID-19 control",3.979195,"3%","Belgium"
2021,"COVID-19 control",44.810686,"28%","Belgium"
2022,"COVID-19 control",21.7396,"15%","Belgium"
2022,"Other prevention and treatment of NCDs",1.582285,"1%","Belgium"
2022,"Research for prevention and control of NCDs",0.369565,"0%","Belgium"
