Year,ODA,Share,Full Name,donor
2019,1224.036,0.6660587064508229,global fund to fight aids tuberculosis and malaria,United States
2019,0.18889999999999998,0.00010278986046861401,african development bank,United States
2019,1.7231,0.0009376241851427677,african development fund,United States
2019,121.2976,0.0660040411814598,international development association,United States
2019,7.9811,0.004342912416019351,food and agricultural organisation,United States
2019,0.1567,8.52682431732759e-05,united nations,United States
2019,51.2287,0.027876076892474788,joint united nations programme on hiv aids,United States
2019,91.47440000000002,0.049775758668344036,world health organisation assessed contributions,United States
2019,316.7828,0.17237723563185212,global alliance for vaccines and immunization,United States
2019,0.114,6.20330550207623e-05,global environment facility trust fund,United States
2019,1.0806,0.0005880080636441732,united nations development programme,United States
2019,21.666000000000004,0.01178954535157751,united nations children’s fund,United States
2020,29.342499999999998,0.00963071678265101,united nations children’s fund,United States
2020,4.2831,0.0014057876135902714,african development fund,United States
2020,0.0154,5.054546765027709e-06,global environment facility trust fund,United States
2020,0.1607,5.274452371038655e-05,united nations,United States
2020,5.1605,0.001693765492267889,food and agricultural organisation,United States
2020,2393.5551,0.7856062459493879,global fund to fight aids tuberculosis and malaria,United States
2020,88.20900000000002,0.02895172179196943,world health organisation assessed contributions,United States
2020,153.6106,0.05041765982493282,international development association,United States
2020,34.2212,0.01123199063346534,joint united nations programme on hiv aids,United States
2020,2.7015,0.0008866790964754776,united nations development programme,United States
2020,315.7367,0.10363025425880026,global alliance for vaccines and immunization,United States
2020,19.7655,0.0064873794859841025,international bank for reconstruction and development,United States
2021,9.8535,0.0013921203768545516,united nations population fund,United States
2021,0.0,0.0,european bank for reconstruction and development,United States
2021,4291.223200000001,0.6062718078196577,global alliance for vaccines and immunization,United States
2021,3.3844,0.00047815417906597093,joint united nations programme on hiv aids,United States
2021,5.093,0.0007195482903861807,food and agricultural organisation,United States
2021,18.6611,0.002636474102047037,international bank for reconstruction and development,United States
2021,1.1608,0.00016399993235426637,united nations,United States
2021,132.2152,0.018679603597696243,world health organisation assessed contributions,United States
2021,3.1298,0.0004421838286374766,global environment facility trust fund,United States
2021,2499.0628,0.3530721314171808,global fund to fight aids tuberculosis and malaria,United States
2021,2.7478000000000002,0.00038821417481310573,african development fund,United States
2021,0.0028,3.955890856236611e-07,african development bank,United States
2021,95.38439999999999,0.01347608127812912,international development association,United States
2021,3.4850000000000003,0.0004923671297851639,united nations development programme,United States
2021,12.647899999999998,0.001786918284306965,united nations children’s fund,United States
2022,48.9972,0.011306971614810202,united nations children’s fund,United States
2022,1.439,0.00033207473393810015,european bank for reconstruction and development,United States
2022,296.9676,0.06853053284102581,world health organisation assessed contributions,United States
2022,1.6644999999999999,0.0003841128524252728,united nations,United States
2022,287.77389999999997,0.06640892375040265,global alliance for vaccines and immunization,United States
2022,3450.6532,0.7962993351651521,global fund to fight aids tuberculosis and malaria,United States
2022,5.0866999999999996,0.00117384610779912,african development fund,United States
2022,24.542399999999997,0.005663593433080214,united nations population fund,United States
2022,6.2233,0.001436136686391229,food and agricultural organisation,United States
2022,29.5572,0.006820847342567903,international bank for reconstruction and development,United States
2022,7.261100000000001,0.0016756274152869624,united nations development programme,United States
2022,170.44800000000004,0.039333894545018275,international development association,United States
2022,0.1235,2.849981212046933e-05,african development bank,United States
2022,2.6243,0.0006056036999817625,global environment facility trust fund,United States
2023,24.8558,0.01730628343737193,joint united nations programme on hiv aids,United States
2023,0.1958,0.0001363291584675377,green climate fund,United States
2023,35.012600000000006,0.024378132245967885,international bank for reconstruction and development,United States
2023,811.45,0.5649861881434294,global fund to fight aids tuberculosis and malaria,United States
2023,0.30510000000000004,0.00021243118615140837,african development bank,United States
2023,166.89020000000002,0.11620020695852433,international development association,United States
2023,2.8281,0.0019691138562923567,united nations development programme,United States
2023,2.6545,0.00184824183428028,african development fund,United States
2023,0.7383,0.0005140542272552762,united nations,United States
2023,3.5614999999999997,0.0024797563732489045,food and agricultural organisation,United States
2023,18.738,0.013046658689298885,united nations population fund,United States
2023,10.8673,0.007566546801911505,united nations relief and works agency for palestine refugees in the near east,United States
2023,19.766799999999996,0.013762978598550173,united nations children’s fund,United States
2023,2.1744999999999997,0.0015140334784865205,global environment facility trust fund,United States
2023,62.7966,0.04372322590716332,world health organisation assessed contributions,United States
2023,273.39470000000006,0.1903558191036003,global alliance for vaccines and immunization,United States
