Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADB,0.1,0.0%,asian development bank,Netherlands
2020,ADB,0.14,0.0%,asian development bank,Netherlands
2021,ADB,0.27,0.0%,asian development bank,Netherlands
2021,ADF,0.84,0.0%,african development fund,Netherlands
2022,ADF,3.13,1.0%,african development fund,Netherlands
2023,ADF,6.42,1.0%,african development fund,Netherlands
2019,AIIB,0.15,0.0%,asian infrastructure investment bank,Netherlands
2019,AfDB,5.87,1.0%,african development bank,Netherlands
2020,AfDB,10.0,2.0%,african development bank,Netherlands
2021,AfDB,7.67,2.0%,african development bank,Netherlands
2022,AfDB,5.39,1.0%,african development bank,Netherlands
2023,AfDB,7.09,2.0%,african development bank,Netherlands
2019,EC-DSB,28.96,6.0%,european commission development share of budget,Netherlands
2020,EC-DSB,23.54,6.0%,european commission development share of budget,Netherlands
2021,EC-DSB,23.93,6.0%,european commission development share of budget,Netherlands
2022,EC-DSB,48.95,13.0%,european commission development share of budget,Netherlands
2023,EC-DSB,45.3,10.0%,european commission development share of budget,Netherlands
2019,EC-EDF,38.44,9.0%,european commission european development fund,Netherlands
2020,EC-EDF,35.28,8.0%,european commission european development fund,Netherlands
2021,EC-EDF,24.31,6.0%,european commission european development fund,Netherlands
2022,EC-EDF,10.24,3.0%,european commission european development fund,Netherlands
2023,EC-EDF,3.94,1.0%,european commission european development fund,Netherlands
2019,FAO,2.91,1.0%,food and agricultural organisation,Netherlands
2020,FAO,2.63,1.0%,food and agricultural organisation,Netherlands
2021,FAO,2.58,1.0%,food and agricultural organisation,Netherlands
2022,FAO,2.86,1.0%,food and agricultural organisation,Netherlands
2023,FAO,4.06,1.0%,food and agricultural organisation,Netherlands
2019,GCF,4.69,1.0%,green climate fund,Netherlands
2020,GCF,18.15,4.0%,green climate fund,Netherlands
2021,GCF,12.2,3.0%,green climate fund,Netherlands
2022,GCF,12.44,3.0%,green climate fund,Netherlands
2023,GCF,9.61,2.0%,green climate fund,Netherlands
2019,GEF-TF,0.81,0.0%,global environment facility trust fund,Netherlands
2020,GEF-TF,0.83,0.0%,global environment facility trust fund,Netherlands
2021,GEF-TF,1.56,0.0%,global environment facility trust fund,Netherlands
2022,GEF-TF,3.61,1.0%,global environment facility trust fund,Netherlands
2023,GEF-TF,5.36,1.0%,global environment facility trust fund,Netherlands
2023,IBRD,2.3,1.0%,international bank for reconstruction and development,Netherlands
2019,IDA,53.7,12.0%,international development association,Netherlands
2020,IDA,27.28,6.0%,international development association,Netherlands
2021,IDA,5.82,2.0%,international development association,Netherlands
2022,IDA,28.51,8.0%,international development association,Netherlands
2023,IDA,27.28,6.0%,international development association,Netherlands
2023,IFC,12.04,3.0%,international finance corporation,Netherlands
2022,JSDGF,0.04,0.0%,joint sustainable development goals fund,Netherlands
2023,JSDGF,0.06,0.0%,joint sustainable development goals fund,Netherlands
2022,UN,0.03,0.0%,united nations,Netherlands
2023,UN,0.07,0.0%,united nations,Netherlands
2019,UNDP,0.15,0.0%,united nations development programme,Netherlands
2020,UNDP,0.09,0.0%,united nations development programme,Netherlands
2021,UNDP,0.14,0.0%,united nations development programme,Netherlands
2022,UNDP,0.13,0.0%,united nations development programme,Netherlands
2023,UNDP,0.18,0.0%,united nations development programme,Netherlands
2020,UNIDO,0.0,0.0%,united nations industrial development organisation,Netherlands
2021,UNIDO,0.01,0.0%,united nations industrial development organisation,Netherlands
2022,UNIDO,0.02,0.0%,united nations industrial development organisation,Netherlands
2023,UNIDO,0.05,0.0%,united nations industrial development organisation,Netherlands
2019,WFP,0.02,0.0%,world food programme,Netherlands
2019,,0.01,0.0%,united nations children’s fund,Netherlands
2020,,0.01,0.0%,united nations children’s fund,Netherlands
2021,,0.01,0.0%,united nations children’s fund,Netherlands
2022,,0.02,0.0%,united nations children’s fund,Netherlands
2023,,0.02,0.0%,united nations children’s fund,Netherlands
