Year,Multi_short,ODA,Share,Full Name,Donor
2019,EC-DSB,3.81,0.64%,european commission development share of budget,Lithuania
2020,EC-DSB,3.22,0.61%,european commission development share of budget,Lithuania
2021,EC-DSB,3.14,0.64%,european commission development share of budget,Lithuania
2022,EC-DSB,4.69,0.7%,european commission development share of budget,Lithuania
2023,EC-DSB,3.69,0.79%,european commission development share of budget,Lithuania
2019,EC-EDF,1.64,0.28%,european commission european development fund,Lithuania
2020,EC-EDF,1.5,0.28%,european commission european development fund,Lithuania
2021,EC-EDF,1.08,0.22%,european commission european development fund,Lithuania
2022,EC-EDF,0.36,0.05%,european commission european development fund,Lithuania
2023,EC-EDF,0.13,0.03%,european commission european development fund,Lithuania
2022,EIB,0.03,0.0%,european investment bank,Lithuania
2023,EIB,0.03,0.01%,european investment bank,Lithuania
2019,FAO,0.22,0.04%,food and agricultural organisation,Lithuania
2020,FAO,0.2,0.04%,food and agricultural organisation,Lithuania
2021,FAO,0.18,0.04%,food and agricultural organisation,Lithuania
2022,FAO,0.15,0.02%,food and agricultural organisation,Lithuania
2023,FAO,0.15,0.03%,food and agricultural organisation,Lithuania
2020,IBRD,0.17,0.03%,international bank for reconstruction and development,Lithuania
2021,IBRD,0.14,0.03%,international bank for reconstruction and development,Lithuania
2022,IBRD,0.15,0.02%,international bank for reconstruction and development,Lithuania
2023,IBRD,0.19,0.04%,international bank for reconstruction and development,Lithuania
2019,IDA,0.19,0.03%,international development association,Lithuania
2020,IDA,0.17,0.03%,international development association,Lithuania
2021,IDA,0.22,0.04%,international development association,Lithuania
2022,IDA,0.17,0.02%,international development association,Lithuania
2023,IDA,0.36,0.08%,international development association,Lithuania
2022,IFC,0.84,0.13%,international finance corporation,Lithuania
2022,UN,0.0,0.0%,united nations,Lithuania
2023,UN,0.0,0.0%,united nations,Lithuania
2021,WOAH,0.07,0.01%,world organisation for animal health,Lithuania
2022,WOAH,0.07,0.01%,world organisation for animal health,Lithuania
2023,WOAH,0.08,0.02%,world organisation for animal health,Lithuania
2021,,0.0,0.0%,united nations children’s fund,Lithuania
2022,,0.0,0.0%,united nations children’s fund,Lithuania
2023,,0.0,0.0%,united nations children’s fund,Lithuania
