Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADF,2.48,0.01%,african development fund,Belgium
2020,ADF,5.26,0.02%,african development fund,Belgium
2021,ADF,4.95,0.03%,african development fund,Belgium
2022,ADF,3.88,0.02%,african development fund,Belgium
2023,ADF,5.51,0.03%,african development fund,Belgium
2020,AF,0.84,0.0%,adaptation fund,Belgium
2021,AF,1.29,0.01%,adaptation fund,Belgium
2019,AIIB,0.04,0.0%,asian infrastructure investment bank,Belgium
2020,AIIB,0.03,0.0%,asian infrastructure investment bank,Belgium
2021,AIIB,0.06,0.0%,asian infrastructure investment bank,Belgium
2022,AIIB,0.07,0.0%,asian infrastructure investment bank,Belgium
2023,AIIB,0.12,0.0%,asian infrastructure investment bank,Belgium
2019,AfDB,0.21,0.0%,african development bank,Belgium
2021,AfDB,3.95,0.02%,african development bank,Belgium
2022,CGIAR ,4.5,0.02%,cgiar fund,Belgium
2023,CGIAR ,4.33,0.02%,cgiar fund,Belgium
2019,EC-DSB,33.78,0.16%,european commission development share of budget,Belgium
2020,EC-DSB,29.54,0.14%,european commission development share of budget,Belgium
2021,EC-DSB,31.07,0.16%,european commission development share of budget,Belgium
2022,EC-DSB,36.26,0.19%,european commission development share of budget,Belgium
2023,EC-DSB,33.71,0.18%,european commission development share of budget,Belgium
2019,EC-EDF,23.74,0.11%,european commission european development fund,Belgium
2020,EC-EDF,21.86,0.1%,european commission european development fund,Belgium
2021,EC-EDF,14.67,0.08%,european commission european development fund,Belgium
2022,EC-EDF,6.0,0.03%,european commission european development fund,Belgium
2023,EC-EDF,2.28,0.01%,european commission european development fund,Belgium
2019,EIB,0.39,0.0%,european investment bank,Belgium
2020,EIB,0.46,0.0%,european investment bank,Belgium
2021,EIB,0.41,0.0%,european investment bank,Belgium
2022,EIB,0.57,0.0%,european investment bank,Belgium
2023,EIB,0.48,0.0%,european investment bank,Belgium
2020,FAO,1.96,0.01%,food and agricultural organisation,Belgium
2021,FAO,2.98,0.02%,food and agricultural organisation,Belgium
2022,FAO,1.64,0.01%,food and agricultural organisation,Belgium
2023,FAO,1.62,0.01%,food and agricultural organisation,Belgium
2019,GCF,3.57,0.02%,green climate fund,Belgium
2020,GCF,6.82,0.03%,green climate fund,Belgium
2021,GCF,7.9,0.04%,green climate fund,Belgium
2022,GCF,8.03,0.04%,green climate fund,Belgium
2023,GCF,6.4,0.04%,green climate fund,Belgium
2019,GEF-TF,0.57,0.0%,global environment facility trust fund,Belgium
2020,GEF-TF,0.58,0.0%,global environment facility trust fund,Belgium
2021,GEF-TF,1.34,0.01%,global environment facility trust fund,Belgium
2022,GEF-TF,3.67,0.02%,global environment facility trust fund,Belgium
2023,GEF-TF,3.46,0.02%,global environment facility trust fund,Belgium
2020,IBRD,1.42,0.01%,international bank for reconstruction and development,Belgium
2021,IBRD,0.03,0.0%,international bank for reconstruction and development,Belgium
2022,IBRD,1.68,0.01%,international bank for reconstruction and development,Belgium
2023,IBRD,1.49,0.01%,international bank for reconstruction and development,Belgium
2019,IDA,24.57,0.12%,international development association,Belgium
2020,IDA,25.63,0.12%,international development association,Belgium
2021,IDA,20.75,0.11%,international development association,Belgium
2022,IDA,21.78,0.11%,international development association,Belgium
2023,IDA,29.79,0.16%,international development association,Belgium
2022,IFC,7.52,0.04%,international finance corporation,Belgium
2023,IFC,6.37,0.03%,international finance corporation,Belgium
2020,ILO-RBSA,0.0,0.0%,international labour organisation regular budget supplementary account,Belgium
2022,ILO-RBSA,0.0,0.0%,international labour organisation regular budget supplementary account,Belgium
2022,UN,0.02,0.0%,united nations,Belgium
2023,UN,0.06,0.0%,united nations,Belgium
2019,UNDP,0.02,0.0%,united nations development programme,Belgium
2020,UNDP,0.02,0.0%,united nations development programme,Belgium
2021,UNDP,0.03,0.0%,united nations development programme,Belgium
2022,UNDP,0.04,0.0%,united nations development programme,Belgium
2023,UNDP,0.06,0.0%,united nations development programme,Belgium
2019,WFP,0.0,0.0%,world food programme,Belgium
2019,,0.0,0.0%,united nations children’s fund,Belgium
2020,,0.0,0.0%,united nations children’s fund,Belgium
2021,,0.01,0.0%,united nations children’s fund,Belgium
2022,,0.01,0.0%,united nations children’s fund,Belgium
2023,,0.01,0.0%,united nations children’s fund,Belgium
