"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","CGIAR Fund","NA","NA%","cgiar fund","New Zealand"
"2019","CGIAR Fund","NA","NA%","cgiar fund","New Zealand"
"2020","CGIAR Fund","NA","NA%","cgiar fund","New Zealand"
"2021","CGIAR Fund","NA","NA%","cgiar fund","New Zealand"
"2022","CGIAR Fund","2.3","6%","cgiar fund","New Zealand"
"2018","IDA","1.9","3.2%","international development association","New Zealand"
"2019","IDA","1.8","2.9%","international development association","New Zealand"
"2020","IDA","1.6","3.6%","international development association","New Zealand"
"2021","IDA","1.5","3.6%","international development association","New Zealand"
"2022","IDA","1.3","3.2%","international development association","New Zealand"
"2018","FAO","1.3","2.3%","food and agricultural organisation","New Zealand"
"2019","FAO","1.3","2.1%","food and agricultural organisation","New Zealand"
"2020","FAO","1.3","2.9%","food and agricultural organisation","New Zealand"
"2021","FAO","1.3","3.2%","food and agricultural organisation","New Zealand"
"2022","FAO","1.2","3.2%","food and agricultural organisation","New Zealand"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","New Zealand"
"2019","IBRD","NA","NA%","international bank for reconstruction and development","New Zealand"
"2020","IBRD","NA","NA%","international bank for reconstruction and development","New Zealand"
"2021","IBRD","0.5","1.3%","international bank for reconstruction and development","New Zealand"
"2022","IBRD","0.5","1.4%","international bank for reconstruction and development","New Zealand"
"2018","ADB","0.3","0.6%","asian development bank","New Zealand"
"2019","ADB","0.2","0.3%","asian development bank","New Zealand"
"2020","ADB","0.2","0.5%","asian development bank","New Zealand"
"2021","ADB","0.2","0.5%","asian development bank","New Zealand"
"2022","ADB","0.2","0.6%","asian development bank","New Zealand"
"2018","UNDP","0","0%","united nations development programme","New Zealand"
"2019","UNDP","0","0%","united nations development programme","New Zealand"
"2020","UNDP","0","0%","united nations development programme","New Zealand"
"2021","UNDP","0","0%","united nations development programme","New Zealand"
"2022","UNDP","0","0.1%","united nations development programme","New Zealand"
"2018","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","New Zealand"
"2019","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","New Zealand"
"2020","WHO - assessed contributions","0","0%","world health organisation assessed contributions","New Zealand"
"2021","WHO - assessed contributions","0","0%","world health organisation assessed contributions","New Zealand"
"2022","WHO - assessed contributions","0","0%","world health organisation assessed contributions","New Zealand"
"2018","UNICEF","0","0%","united nations childrenâ€™s fund","New Zealand"
"2019","UNICEF","0","0%","united nations childrenâ€™s fund","New Zealand"
"2020","UNICEF","0","0%","united nations childrenâ€™s fund","New Zealand"
"2021","UNICEF","0","0%","united nations childrenâ€™s fund","New Zealand"
"2022","UNICEF","0","0%","united nations childrenâ€™s fund","New Zealand"
"2018","UN","NA","NA%","united nations","New Zealand"
"2019","UN","NA","NA%","united nations","New Zealand"
"2020","UN","NA","NA%","united nations","New Zealand"
"2021","UN","NA","NA%","united nations","New Zealand"
"2022","UN","0","0%","united nations","New Zealand"
"2018","GEF Fund","0.3","0.6%","global environment facility trust fund","New Zealand"
"2019","GEF Fund","0","0.1%","global environment facility trust fund","New Zealand"
"2020","GEF Fund","0.1","0.1%","global environment facility trust fund","New Zealand"
"2021","GEF Fund","0.1","0.3%","global environment facility trust fund","New Zealand"
"2022","GEF Fund","NA","NA%","global environment facility trust fund","New Zealand"
"2018","WFP","0","0%","world food programme","New Zealand"
"2019","WFP","0","0%","world food programme","New Zealand"
"2020","WFP","NA","NA%","world food programme","New Zealand"
"2021","WFP","NA","NA%","world food programme","New Zealand"
"2022","WFP","NA","NA%","world food programme","New Zealand"
"2018","Adaptation Fund","NA","NA%","adaptation fund","New Zealand"
"2019","Adaptation Fund","1.2","1.9%","adaptation fund","New Zealand"
"2020","Adaptation Fund","NA","NA%","adaptation fund","New Zealand"
"2021","Adaptation Fund","NA","NA%","adaptation fund","New Zealand"
"2022","Adaptation Fund","NA","NA%","adaptation fund","New Zealand"
"2018","GCF","NA","NA%","green climate fund","New Zealand"
"2019","GCF","1.6","2.6%","green climate fund","New Zealand"
"2020","GCF","NA","NA%","green climate fund","New Zealand"
"2021","GCF","NA","NA%","green climate fund","New Zealand"
"2022","GCF","NA","NA%","green climate fund","New Zealand"
