"Year","Sector","Bilateral ODA for","Share","Donor"
2017,"Health policy and administrative management",38.34323,"29.96%","Denmark"
2018,"Health policy and administrative management",31.934388,"22.59%","Denmark"
2019,"Health policy and administrative management",37.216607,"32.57%","Denmark"
2020,"Health policy and administrative management",37.404086,"34.45%","Denmark"
2021,"Health policy and administrative management",16.160909,"8.35%","Denmark"
2018,"Medical education/training",0.045343,"0.03%","Denmark"
2019,"Medical education/training",0.061532,"0.05%","Denmark"
2020,"Medical research",1.634379,"1.51%","Denmark"
2019,"Medical services",5.030113,"4.4%","Denmark"
2020,"Medical services",4.903136,"4.52%","Denmark"
2017,"Basic health care",12.508805,"9.77%","Denmark"
2018,"Basic health care",5.532123,"3.91%","Denmark"
2019,"Basic health care",1.241695,"1.09%","Denmark"
2020,"Basic health care",3.108602,"2.86%","Denmark"
2021,"Basic health care",4.03887,"2.09%","Denmark"
2021,"Basic health infrastructure",1.985408,"1.03%","Denmark"
2017,"Basic nutrition",3.332261,"2.6%","Denmark"
2018,"Basic nutrition",0.761882,"0.54%","Denmark"
2018,"Infectious disease control",3.388861,"2.4%","Denmark"
2020,"Infectious disease control",17.651289,"16.26%","Denmark"
2018,"Health education",0.001813,"0%","Denmark"
2019,"Health education",0.251506,"0.22%","Denmark"
2020,"Health education",3.317779,"3.06%","Denmark"
2021,"Health education",0.323525,"0.17%","Denmark"
2017,"Population policy and administrative management",17.896448,"13.98%","Denmark"
2018,"Population policy and administrative management",50.765369,"35.91%","Denmark"
2019,"Population policy and administrative management",8.063027,"7.06%","Denmark"
2020,"Population policy and administrative management",13.702134,"12.62%","Denmark"
2021,"Population policy and administrative management",12.198318,"6.3%","Denmark"
2017,"Reproductive health care",49.783803,"38.9%","Denmark"
2018,"Reproductive health care",42.120627,"29.79%","Denmark"
2019,"Reproductive health care",48.981488,"42.87%","Denmark"
2020,"Reproductive health care",2.342886,"2.16%","Denmark"
2021,"Reproductive health care",22.399454,"11.57%","Denmark"
2017,"Family planning",4.26954,"3.34%","Denmark"
2018,"Family planning",5.089947,"3.6%","Denmark"
2019,"Family planning",9.998654,"8.75%","Denmark"
2020,"Family planning",17.814727,"16.41%","Denmark"
2021,"Family planning",23.536521,"12.16%","Denmark"
2017,"STD control including HIV/AIDS",1.709069,"1.34%","Denmark"
2018,"STD control including HIV/AIDS",1.737488,"1.23%","Denmark"
2019,"STD control including HIV/AIDS",1.676704,"1.47%","Denmark"
2020,"STD control including HIV/AIDS",1.634378,"1.51%","Denmark"
2021,"STD control including HIV/AIDS",0.795153,"0.41%","Denmark"
2017,"Personnel development for population and reproductive health",0.128034,"0.1%","Denmark"
2021,"Promotion of mental health and well-being",0.874668,"0.45%","Denmark"
2019,"Other prevention and treatment of NCDs",1.739535,"1.52%","Denmark"
2020,"Other prevention and treatment of NCDs",1.634379,"1.51%","Denmark"
2021,"Other prevention and treatment of NCDs",1.590305,"0.82%","Denmark"
2020,"COVID-19 control",3.432196,"3.16%","Denmark"
2021,"COVID-19 control",109.637528,"56.65%","Denmark"
