"Year","Sector","Bilateral ODA for","Share","Donor"
2017,"Health policy and administrative management",33.385391,"42%","Ireland"
2018,"Health policy and administrative management",24.690632,"35%","Ireland"
2019,"Health policy and administrative management",21.933951,"29%","Ireland"
2020,"Health policy and administrative management",20.975799,"25%","Ireland"
2021,"Health policy and administrative management",15.224466,"15%","Ireland"
2017,"Medical education/training",0.888222,"1%","Ireland"
2018,"Medical education/training",0.080711,"0%","Ireland"
2019,"Medical education/training",0.60834,"1%","Ireland"
2020,"Medical education/training",0.383735,"0%","Ireland"
2021,"Medical education/training",0.609756,"1%","Ireland"
2017,"Medical research",0.247133,"0%","Ireland"
2018,"Medical research",0.024375,"0%","Ireland"
2017,"Medical services",0.917946,"1%","Ireland"
2018,"Medical services",0.764194,"1%","Ireland"
2019,"Medical services",0.607343,"1%","Ireland"
2020,"Medical services",0.43214,"1%","Ireland"
2021,"Medical services",0.212757,"0%","Ireland"
2017,"Basic health care",6.446687,"8%","Ireland"
2018,"Basic health care",9.58041,"13%","Ireland"
2019,"Basic health care",18.741652,"25%","Ireland"
2020,"Basic health care",17.905834,"21%","Ireland"
2021,"Basic health care",19.987966,"20%","Ireland"
2017,"Basic health infrastructure",0.660321,"1%","Ireland"
2018,"Basic health infrastructure",0.198445,"0%","Ireland"
2019,"Basic health infrastructure",0.353056,"0%","Ireland"
2020,"Basic health infrastructure",1.354393,"2%","Ireland"
2021,"Basic health infrastructure",0.188313,"0%","Ireland"
2017,"Basic nutrition",19.881688,"25%","Ireland"
2018,"Basic nutrition",20.948894,"29%","Ireland"
2019,"Basic nutrition",17.068786,"22%","Ireland"
2020,"Basic nutrition",16.667228,"19%","Ireland"
2021,"Basic nutrition",14.855485,"15%","Ireland"
2017,"Infectious disease control",0.614234,"1%","Ireland"
2018,"Infectious disease control",0.032297,"0%","Ireland"
2019,"Infectious disease control",0.049891,"0%","Ireland"
2020,"Infectious disease control",0.077376,"0%","Ireland"
2021,"Infectious disease control",0.096233,"0%","Ireland"
2017,"Health education",2.713645,"3%","Ireland"
2018,"Health education",1.551216,"2%","Ireland"
2019,"Health education",0.898437,"1%","Ireland"
2020,"Health education",0.322749,"0%","Ireland"
2021,"Health education",0.41649,"0%","Ireland"
2017,"Malaria control",1.228469,"2%","Ireland"
2018,"Malaria control",1.218743,"2%","Ireland"
2019,"Malaria control",1.181675,"2%","Ireland"
2020,"Malaria control",1.187793,"1%","Ireland"
2021,"Malaria control",1.182592,"1%","Ireland"
2017,"Tuberculosis control",1.228469,"2%","Ireland"
2018,"Tuberculosis control",1.218743,"2%","Ireland"
2019,"Tuberculosis control",1.181675,"2%","Ireland"
2020,"Tuberculosis control",1.187793,"1%","Ireland"
2021,"Tuberculosis control",1.182592,"1%","Ireland"
2017,"Health personnel development",0.70124,"1%","Ireland"
2018,"Health personnel development",0.878599,"1%","Ireland"
2019,"Health personnel development",1.012015,"1%","Ireland"
2020,"Health personnel development",0.994939,"1%","Ireland"
2021,"Health personnel development",0.946613,"1%","Ireland"
2019,"Population policy and administrative management",1.343347,"2%","Ireland"
2020,"Population policy and administrative management",0.593896,"1%","Ireland"
2021,"Population policy and administrative management",0.295648,"0%","Ireland"
2017,"Reproductive health care",2.150234,"3%","Ireland"
2018,"Reproductive health care",0.513231,"1%","Ireland"
2019,"Reproductive health care",3.147198,"4%","Ireland"
2020,"Reproductive health care",4.125729,"5%","Ireland"
2021,"Reproductive health care",2.124698,"2%","Ireland"
2017,"Family planning",0.088834,"0%","Ireland"
2018,"Family planning",1.280184,"2%","Ireland"
2019,"Family planning",0.031787,"0%","Ireland"
2020,"Family planning",0.041573,"0%","Ireland"
2021,"Family planning",0.026963,"0%","Ireland"
2017,"STD control including HIV/AIDS",7.54586,"10%","Ireland"
2018,"STD control including HIV/AIDS",8.343276,"12%","Ireland"
2019,"STD control including HIV/AIDS",8.060864,"11%","Ireland"
2020,"STD control including HIV/AIDS",3.207858,"4%","Ireland"
2021,"STD control including HIV/AIDS",2.258941,"2%","Ireland"
2017,"Personnel development for population and reproductive health",0.029344,"0%","Ireland"
2018,"Personnel development for population and reproductive health",0.022471,"0%","Ireland"
2019,"Personnel development for population and reproductive health",0.051877,"0%","Ireland"
2020,"Personnel development for population and reproductive health",0.030408,"0%","Ireland"
2021,"Personnel development for population and reproductive health",0.00544,"0%","Ireland"
2021,"Control of harmful use of alcohol and drugs",0.018575,"0%","Ireland"
2020,"Promotion of mental health and well-being",0.023756,"0%","Ireland"
2021,"Promotion of mental health and well-being",0.011826,"0%","Ireland"
2021,"Other prevention and treatment of NCDs",0.295648,"0%","Ireland"
2020,"COVID-19 control",16.080609,"19%","Ireland"
2021,"COVID-19 control",38.666169,"39%","Ireland"
