Donor,ODA towards Climate,year,Ranking
Japan,16536.026987463807,2023,1st
Germany,10253.335330908792,2023,2nd
United States,5302.380561282457,2023,3rd
France,5192.474491267495,2023,4th
Korea,3068.976112272003,2023,5th
Netherlands,2579.9723051451997,2023,6th
Norway,1325.2580521855996,2023,7th
Australia,1154.624563468805,2023,8th
Canada,789.4034829489037,2023,9th
Sweden,567.8208929952003,2023,10th
Switzerland,506.4062776499999,2023,11th
Denmark,488.0810836090001,2023,12th
Belgium,318.2818689791002,2023,13th
New Zealand,280.5884386579999,2023,14th
Finland,174.6518290989999,2023,15th
Ireland,152.42070940500025,2023,16th
Austria,150.9568458318,2023,17th
Luxembourg,42.330973549500015,2023,18th
Iceland,29.543533772799996,2023,19th
Czechia,11.583984351600003,2023,20th
Portugal,11.177630865800001,2023,21st
Poland,9.504261227999999,2023,22nd
Slovenia,6.4329306176999985,2023,23rd
Lithuania,4.185724662,2023,24th
Estonia,2.8028915807999994,2023,25th
Hungary,2.6442736631999995,2023,26th
Slovak Republic,2.603044132800001,2023,27th
Greece,0.010501857600000001,2023,28th
United Kingdom,0.0,2023,29th
