year,Sector,Climate-related ODA to,Share,Donor
2022,Infrastructure,1370.47,19.0%,France
2022,Financial services & business support,1122.06,15.6%,France
2022,Environmental protection,971.6,13.5%,France
2022,Energy,892.65,12.4%,France
2022,Water and sanitation,780.14,10.8%,France
2022,Government & civil society,621.75,8.6%,France
2022,Other multisector,430.7,6.0%,France
2022,"Agriculture (incl. forestry, fishing, rural development)",429.43,6.0%,France
2022,"Industry, construction & mining",156.37,2.2%,France
2022,Unspecified,151.71,2.1%,France
2022,Other social services,124.97,1.7%,France
2022,Health & populations,67.53,0.9%,France
2022,Education,43.52,0.6%,France
2022,Food aid and commodity assistance,23.8,0.3%,France
2022,,7.93,0.1%,France
2022,Emergency Response,1.71,0.0%,France
2022,Reconstruction Relief & Rehabilitation,1.25,0.0%,France
2022,Tourism,0.23,0.0%,France
2022,Trade policy,0.06,0.0%,France
2022,Disaster Prevention & Preparedness,0.03,0.0%,France
2023,Water and sanitation,931.88,17.9%,France
2023,Energy,874.72,16.8%,France
2023,Other multisector,854.87,16.5%,France
2023,Infrastructure,601.48,11.6%,France
2023,Government & civil society,438.88,8.5%,France
2023,Environmental protection,404.42,7.8%,France
2023,Education,385.78,7.4%,France
2023,Financial services & business support,227.79,4.4%,France
2023,"Agriculture (incl. forestry, fishing, rural development)",206.14,4.0%,France
2023,Health & populations,100.26,1.9%,France
2023,Food aid and commodity assistance,70.45,1.4%,France
2023,Other social services,68.76,1.3%,France
2023,Emergency Response,12.28,0.2%,France
2023,Trade policy,6.49,0.1%,France
2023,Unspecified,3.57,0.1%,France
2023,"Industry, construction & mining",2.67,0.1%,France
2023,,0.64,0.0%,France
2023,Tourism,0.63,0.0%,France
2023,Donor administration costs,0.31,0.0%,France
2023,Reconstruction Relief & Rehabilitation,0.23,0.0%,France
2023,Disaster Prevention & Preparedness,0.2,0.0%,France
2023,General budget support,0.0,0.0%,France
