year,Sector,Climate-related ODA to,Share,Donor
2022,Health & populations,0.41,65.8%,Hungary
2022,Reconstruction Relief & Rehabilitation,0.21,34.2%,Hungary
2023,"Agriculture (incl. forestry, fishing, rural development)",2.73,86.5%,Hungary
2023,Education,0.18,5.7%,Hungary
2023,Water and sanitation,0.16,5.0%,Hungary
2023,Government & civil society,0.02,0.7%,Hungary
2023,Emergency Response,0.02,0.5%,Hungary
2023,Environmental protection,0.02,0.7%,Hungary
2023,Health & populations,0.01,0.4%,Hungary
2023,Unspecified,0.01,0.4%,Hungary
