year,Sector,Climate-related ODA to,Share,Donor
2022,Water and sanitation,1.17,49.3%,Slovak Republic
2022,"Industry, construction & mining",0.51,21.7%,Slovak Republic
2022,Energy,0.35,14.6%,Slovak Republic
2022,"Agriculture (incl. forestry, fishing, rural development)",0.24,10.0%,Slovak Republic
2022,Environmental protection,0.1,4.4%,Slovak Republic
2022,,0.0,0.0%,Slovak Republic
2023,Financial services & business support,0.72,24.9%,Slovak Republic
2023,"Agriculture (incl. forestry, fishing, rural development)",0.65,22.5%,Slovak Republic
2023,Water and sanitation,0.61,20.9%,Slovak Republic
2023,Education,0.45,15.6%,Slovak Republic
2023,Other multisector,0.23,7.8%,Slovak Republic
2023,Energy,0.22,7.6%,Slovak Republic
2023,Disaster Prevention & Preparedness,0.01,0.2%,Slovak Republic
2023,Environmental protection,0.01,0.4%,Slovak Republic
2023,"Industry, construction & mining",0.0,0.0%,Slovak Republic
2023,,0.0,0.0%,Slovak Republic
