Year,Multi_short,ODA,Share,Full Name,Donor
2020,CEB,0.0,0.0%,council of europe development bank,Estonia
2019,EC-DSB,2.59,0.41%,european commission development share of budget,Estonia
2020,EC-DSB,2.37,0.43%,european commission development share of budget,Estonia
2021,EC-DSB,2.27,0.36%,european commission development share of budget,Estonia
2022,EC-DSB,3.0,0.53%,european commission development share of budget,Estonia
2023,EC-DSB,3.14,0.36%,european commission development share of budget,Estonia
2019,EC-EDF,0.29,0.05%,european commission european development fund,Estonia
2020,EC-EDF,0.31,0.06%,european commission european development fund,Estonia
2021,EC-EDF,0.17,0.03%,european commission european development fund,Estonia
2022,EC-EDF,0.07,0.01%,european commission european development fund,Estonia
2023,EC-EDF,0.01,0.0%,european commission european development fund,Estonia
2020,FAO,0.0,0.0%,food and agricultural organisation,Estonia
2021,FAO,0.0,0.0%,food and agricultural organisation,Estonia
2022,FAO,0.0,0.0%,food and agricultural organisation,Estonia
2023,FAO,0.0,0.0%,food and agricultural organisation,Estonia
2021,IBRD,0.09,0.01%,international bank for reconstruction and development,Estonia
2022,IBRD,0.04,0.01%,international bank for reconstruction and development,Estonia
2023,IBRD,0.03,0.0%,international bank for reconstruction and development,Estonia
2019,IDA,0.15,0.02%,international development association,Estonia
2020,IDA,0.15,0.03%,international development association,Estonia
2021,IDA,0.14,0.02%,international development association,Estonia
2022,IDA,0.13,0.02%,international development association,Estonia
2023,IDA,0.3,0.03%,international development association,Estonia
2023,UN,0.0,0.0%,united nations,Estonia
2019,UNDP,0.0,0.0%,united nations development programme,Estonia
2020,UNDP,0.0,0.0%,united nations development programme,Estonia
2021,UNDP,0.0,0.0%,united nations development programme,Estonia
2019,UNFPA,0.0,0.0%,united nations population fund,Estonia
2020,UNFPA,0.0,0.0%,united nations population fund,Estonia
2021,UNFPA,0.0,0.0%,united nations population fund,Estonia
2019,UNRWA,0.07,0.01%,united nations relief and works agency for palestine refugees in the near east,Estonia
2020,UNRWA,0.17,0.03%,united nations relief and works agency for palestine refugees in the near east,Estonia
2021,UNRWA,0.07,0.01%,united nations relief and works agency for palestine refugees in the near east,Estonia
2022,UNRWA,0.06,0.01%,united nations relief and works agency for palestine refugees in the near east,Estonia
2023,UNRWA,0.09,0.01%,united nations relief and works agency for palestine refugees in the near east,Estonia
2019,,0.01,0.0%,united nations children’s fund,Estonia
2020,,0.03,0.01%,united nations children’s fund,Estonia
2021,,0.01,0.0%,united nations children’s fund,Estonia
2022,,0.01,0.0%,united nations children’s fund,Estonia
2023,,0.02,0.0%,united nations children’s fund,Estonia
