Year,ODA,Share,Full Name,donor
2021,0.33640000000000003,0.5360956175298806,international development association,Iceland
2021,0.05569999999999999,0.08876494023904383,international bank for reconstruction and development,Iceland
2021,0.0001,0.00015936254980079685,adaptation fund,Iceland
2021,0.0,0.0,united nations development programme,Iceland
2021,0.0281,0.04478087649402391,united nations population fund,Iceland
2021,0.125,0.19920318725099603,united nations relief and works agency for palestine refugees in the near east,Iceland
2021,0.08199999999999999,0.1306772908366534,united nations children’s fund,Iceland
2021,0.0002,0.0003187250996015937,food and agricultural organisation,Iceland
2023,0.0002,0.00011450818733539448,adaptation fund,Iceland
2023,0.42080000000000006,0.24092522615367,international development association,Iceland
2023,0.0001,5.725409366769724e-05,food and agricultural organisation,Iceland
2023,0.0862,0.04935302874155502,united nations population fund,Iceland
2023,1.0738,0.614794457803733,united nations relief and works agency for palestine refugees in the near east,Iceland
2023,0.0019,0.0010878277796862474,united nations development programme,Iceland
2023,0.042800000000000005,0.024504752089774418,international bank for reconstruction and development,Iceland
2023,0.12029999999999999,0.06887667468223976,united nations children’s fund,Iceland
2023,0.0005,0.0002862704683384862,united nations,Iceland
2022,0.002,0.0019517907680296673,united nations development programme,Iceland
2022,0.6757000000000001,0.6594125109788231,international development association,Iceland
2022,0.08470000000000001,0.08265833902605642,united nations children’s fund,Iceland
2022,0.0001,9.758953840148337e-05,adaptation fund,Iceland
2022,0.04869999999999999,0.047526105201522395,international bank for reconstruction and development,Iceland
2022,0.0,0.0,food and agricultural organisation,Iceland
2022,0.0508,0.04957548550795355,united nations population fund,Iceland
2022,0.1627,0.15877817897921345,united nations relief and works agency for palestine refugees in the near east,Iceland
2019,0.0086,0.01529432687177663,world food programme,Iceland
2019,0.0,0.0,united nations development programme,Iceland
2019,0.0138,0.024542059398897385,united nations population fund,Iceland
2019,0.1343,0.23884047661390717,united nations relief and works agency for palestine refugees in the near east,Iceland
2019,0.3291,0.5852747643606615,international development association,Iceland
2019,0.0001,0.00017784101013693757,food and agricultural organisation,Iceland
2019,0.0764,0.1358705317446203,united nations children’s fund,Iceland
2020,0.0,0.0,united nations development programme,Iceland
2020,0.0782,0.11975497702909649,united nations children’s fund,Iceland
2020,0.1328,0.20336906584992342,united nations relief and works agency for palestine refugees in the near east,Iceland
2020,0.023,0.03522205206738131,united nations population fund,Iceland
2020,0.2979,0.4562021439509954,international development association,Iceland
2020,0.0002,0.00030627871362940275,food and agricultural organisation,Iceland
2020,0.1209,0.18514548238897394,international bank for reconstruction and development,Iceland
