Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADF,4.2,2.0%,african development fund,Switzerland
2020,ADF,2.74,1.0%,african development fund,Switzerland
2021,ADF,1.64,1.0%,african development fund,Switzerland
2022,ADF,0.94,0.0%,african development fund,Switzerland
2023,ADF,0.93,0.0%,african development fund,Switzerland
2022,AF,0.0,0.0%,adaptation fund,Switzerland
2023,AF,0.0,0.0%,adaptation fund,Switzerland
2021,AfDB,0.13,0.0%,african development bank,Switzerland
2022,AfDB,0.16,0.0%,african development bank,Switzerland
2023,AfDB,0.65,0.0%,african development bank,Switzerland
2019,FAO,0.01,0.0%,food and agricultural organisation,Switzerland
2020,FAO,0.01,0.0%,food and agricultural organisation,Switzerland
2021,FAO,0.01,0.0%,food and agricultural organisation,Switzerland
2022,FAO,0.0,0.0%,food and agricultural organisation,Switzerland
2023,FAO,0.0,0.0%,food and agricultural organisation,Switzerland
2021,IBRD,1.8,1.0%,international bank for reconstruction and development,Switzerland
2022,IBRD,1.66,1.0%,international bank for reconstruction and development,Switzerland
2023,IBRD,1.03,0.0%,international bank for reconstruction and development,Switzerland
2019,IDA,21.29,11.0%,international development association,Switzerland
2020,IDA,20.14,10.0%,international development association,Switzerland
2021,IDA,19.95,9.0%,international development association,Switzerland
2022,IDA,21.26,10.0%,international development association,Switzerland
2023,IDA,32.4,14.000000000000002%,international development association,Switzerland
2019,IDB-IIC-MIF,1.4,1.0%,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2020,IDB-IIC-MIF,0.06,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2021,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2022,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2023,JSDGF,0.01,0.0%,joint sustainable development goals fund,Switzerland
2023,UN,0.02,0.0%,united nations,Switzerland
2019,UNDP,0.02,0.0%,united nations development programme,Switzerland
2020,UNDP,0.02,0.0%,united nations development programme,Switzerland
2021,UNDP,0.01,0.0%,united nations development programme,Switzerland
2022,UNDP,0.17,0.0%,united nations development programme,Switzerland
2023,UNDP,0.25,0.0%,united nations development programme,Switzerland
2019,UNFPA,0.87,0.0%,united nations population fund,Switzerland
2020,UNFPA,0.93,0.0%,united nations population fund,Switzerland
2021,UNFPA,0.88,0.0%,united nations population fund,Switzerland
2022,UNFPA,0.99,0.0%,united nations population fund,Switzerland
2023,UNFPA,1.01,0.0%,united nations population fund,Switzerland
2020,UNIDO,0.06,0.0%,united nations industrial development organisation,Switzerland
2021,UNIDO,0.03,0.0%,united nations industrial development organisation,Switzerland
2022,UNIDO,0.03,0.0%,united nations industrial development organisation,Switzerland
2023,UNIDO,0.01,0.0%,united nations industrial development organisation,Switzerland
2019,UNRWA,13.37,7.000000000000001%,united nations relief and works agency for palestine refugees in the near east,Switzerland
2020,UNRWA,18.36,9.0%,united nations relief and works agency for palestine refugees in the near east,Switzerland
2021,UNRWA,15.8,7.000000000000001%,united nations relief and works agency for palestine refugees in the near east,Switzerland
2022,UNRWA,15.61,7.000000000000001%,united nations relief and works agency for palestine refugees in the near east,Switzerland
2023,UNRWA,13.31,6.0%,united nations relief and works agency for palestine refugees in the near east,Switzerland
2019,WFP,0.17,0.0%,world food programme,Switzerland
2019,,1.41,1.0%,united nations children’s fund,Switzerland
2020,,1.51,1.0%,united nations children’s fund,Switzerland
2021,,1.67,1.0%,united nations children’s fund,Switzerland
2022,,1.73,1.0%,united nations children’s fund,Switzerland
2023,,1.69,1.0%,united nations children’s fund,Switzerland
