"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","IDA","18.6","10.1%","international development association","Switzerland"
"2019","IDA","17.4","9.4%","international development association","Switzerland"
"2020","IDA","16.7","8.6%","international development association","Switzerland"
"2021","IDA","16.3","8%","international development association","Switzerland"
"2022","IDA","16.8","8.3%","international development association","Switzerland"
"2018","UNRWA","15.7","8.5%","united nations relief and works agency for palestine refugees in the near east","Switzerland"
"2019","UNRWA","12.7","6.8%","united nations relief and works agency for palestine refugees in the near east","Switzerland"
"2020","UNRWA","17.4","8.9%","united nations relief and works agency for palestine refugees in the near east","Switzerland"
"2021","UNRWA","15","7.4%","united nations relief and works agency for palestine refugees in the near east","Switzerland"
"2022","UNRWA","14.7","7.3%","united nations relief and works agency for palestine refugees in the near east","Switzerland"
"2018","UNICEF","1.3","0.7%","united nations childrenâ€™s fund","Switzerland"
"2019","UNICEF","1.3","0.7%","united nations childrenâ€™s fund","Switzerland"
"2020","UNICEF","1.4","0.7%","united nations childrenâ€™s fund","Switzerland"
"2021","UNICEF","1.5","0.8%","united nations childrenâ€™s fund","Switzerland"
"2022","UNICEF","1.6","0.8%","united nations childrenâ€™s fund","Switzerland"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","Switzerland"
"2019","IBRD","NA","NA%","international bank for reconstruction and development","Switzerland"
"2020","IBRD","NA","NA%","international bank for reconstruction and development","Switzerland"
"2021","IBRD","1.3","0.7%","international bank for reconstruction and development","Switzerland"
"2022","IBRD","1.3","0.6%","international bank for reconstruction and development","Switzerland"
"2018","African Development Fund","4.5","2.4%","african development fund","Switzerland"
"2019","African Development Fund","4","2.1%","african development fund","Switzerland"
"2020","African Development Fund","2.6","1.3%","african development fund","Switzerland"
"2021","African Development Fund","1.5","0.8%","african development fund","Switzerland"
"2022","African Development Fund","0.9","0.4%","african development fund","Switzerland"
"2018","AfDB","0.2","0.1%","african development bank","Switzerland"
"2019","AfDB","NA","NA%","african development bank","Switzerland"
"2020","AfDB","NA","NA%","african development bank","Switzerland"
"2021","AfDB","0.1","0.1%","african development bank","Switzerland"
"2022","AfDB","0.1","0.1%","african development bank","Switzerland"
"2018","UNDP","0","0%","united nations development programme","Switzerland"
"2019","UNDP","0","0%","united nations development programme","Switzerland"
"2020","UNDP","0","0%","united nations development programme","Switzerland"
"2021","UNDP","0","0%","united nations development programme","Switzerland"
"2022","UNDP","0.1","0.1%","united nations development programme","Switzerland"
"2018","UNIDO","NA","NA%","united nations industrial development organisation","Switzerland"
"2019","UNIDO","NA","NA%","united nations industrial development organisation","Switzerland"
"2020","UNIDO","0.1","0%","united nations industrial development organisation","Switzerland"
"2021","UNIDO","0","0%","united nations industrial development organisation","Switzerland"
"2022","UNIDO","0","0%","united nations industrial development organisation","Switzerland"
"2018","IDB, IIC and MIF","0.1","0.1%","inter american development bank inter american investment corporation and multilateral investment fund","Switzerland"
"2019","IDB, IIC and MIF","0.8","0.5%","inter american development bank inter american investment corporation and multilateral investment fund","Switzerland"
"2020","IDB, IIC and MIF","0","0%","inter american development bank inter american investment corporation and multilateral investment fund","Switzerland"
"2021","IDB, IIC and MIF","0","0%","inter american development bank inter american investment corporation and multilateral investment fund","Switzerland"
"2022","IDB, IIC and MIF","0","0%","inter american development bank inter american investment corporation and multilateral investment fund","Switzerland"
"2018","FAO","NA","NA%","food and agricultural organisation","Switzerland"
"2019","FAO","0","0%","food and agricultural organisation","Switzerland"
"2020","FAO","0","0%","food and agricultural organisation","Switzerland"
"2021","FAO","0","0%","food and agricultural organisation","Switzerland"
"2022","FAO","0","0%","food and agricultural organisation","Switzerland"
"2018","Adaptation Fund","NA","NA%","adaptation fund","Switzerland"
"2019","Adaptation Fund","NA","NA%","adaptation fund","Switzerland"
"2020","Adaptation Fund","NA","NA%","adaptation fund","Switzerland"
"2021","Adaptation Fund","NA","NA%","adaptation fund","Switzerland"
"2022","Adaptation Fund","0","0%","adaptation fund","Switzerland"
"2018","ADB","NA","NA%","asian development bank","Switzerland"
"2019","ADB","NA","NA%","asian development bank","Switzerland"
"2020","ADB","NA","NA%","asian development bank","Switzerland"
"2021","ADB","NA","NA%","asian development bank","Switzerland"
"2022","ADB","NA","NA%","asian development bank","Switzerland"
"2018","WFP","0.4","0.2%","world food programme","Switzerland"
"2019","WFP","0.2","0.1%","world food programme","Switzerland"
"2020","WFP","NA","NA%","world food programme","Switzerland"
"2021","WFP","NA","NA%","world food programme","Switzerland"
"2022","WFP","NA","NA%","world food programme","Switzerland"
"2018","IFC","NA","NA%","international finance corporation","Switzerland"
"2019","IFC","NA","NA%","international finance corporation","Switzerland"
"2020","IFC","NA","NA%","international finance corporation","Switzerland"
"2021","IFC","0","0%","international finance corporation","Switzerland"
"2022","IFC","NA","NA%","international finance corporation","Switzerland"
